@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2024/11/10 16:14:48:561',1,0.448895,0.335607,0.489894,0.339537,0.543606,0.336647,0.585379,0.328265,0.517267,0.443585,0.515592,0.283652,0.48938,0.512676,0.547093,0.511556,0.518035,0.512617,0.518063,0.519058,0.55,0,0
2,'2024/11/10 16:14:48:624',1,0.448521,0.334937,0.48957,0.339121,0.543617,0.336433,0.585443,0.328077,0.517226,0.443804,0.515623,0.283816,0.489274,0.511811,0.54703,0.510665,0.518016,0.51202,0.518043,0.51843,0.55,0,0
3,'2024/11/10 16:14:48:626',1,0.448713,0.334295,0.489874,0.33841,0.544107,0.335757,0.585999,0.327763,0.51727,0.443378,0.515915,0.282286,0.489065,0.511403,0.547491,0.510648,0.518057,0.511934,0.518122,0.517012,0.55,0,0
4,'2024/11/10 16:14:48:650',1,0.449201,0.333594,0.490203,0.337777,0.544143,0.334944,0.586093,0.326724,0.517217,0.44278,0.516049,0.282241,0.489211,0.51105,0.547388,0.510456,0.518014,0.511684,0.518021,0.517725,0.55,0,0
5,'2024/11/10 16:14:48:685',1,0.449279,0.334341,0.490109,0.338529,0.543748,0.3359,0.585509,0.327787,0.517246,0.442599,0.515919,0.283055,0.489569,0.51182,0.547293,0.510764,0.51818,0.511993,0.518184,0.518275,0.55,0,0
6,'2024/11/10 16:14:48:720',1,0.449749,0.334605,0.490539,0.338675,0.544151,0.33615,0.585823,0.328336,0.517659,0.442119,0.516386,0.283363,0.489919,0.511878,0.547446,0.511009,0.51843,0.511841,0.51851,0.517736,0.55,0,0
7,'2024/11/10 16:14:48:753',1,0.449543,0.333934,0.490501,0.338557,0.544275,0.33624,0.58607,0.328237,0.517781,0.44236,0.516595,0.283592,0.490093,0.511532,0.547096,0.510961,0.518414,0.511411,0.518464,0.517595,0.55,0,0
8,'2024/11/10 16:14:48:786',1,0.449812,0.333977,0.490741,0.338574,0.544196,0.336078,0.585899,0.327843,0.51771,0.442636,0.516618,0.283129,0.48985,0.511137,0.547082,0.510627,0.518287,0.511409,0.518338,0.517162,0.55,0,0
9,'2024/11/10 16:14:48:818',1,0.449973,0.334166,0.490887,0.338519,0.544472,0.336,0.586326,0.327963,0.517654,0.442998,0.51672,0.282671,0.489745,0.511472,0.54748,0.510758,0.518354,0.51194,0.518423,0.517712,0.55,0,0
10,'2024/11/10 16:14:48:851',1,0.449883,0.333998,0.490804,0.33844,0.544356,0.335767,0.586048,0.327416,0.517968,0.443335,0.51671,0.283183,0.489676,0.510953,0.547412,0.510284,0.518471,0.511563,0.518464,0.517468,0.55,0,0
11,'2024/11/10 16:14:48:884',1,0.450108,0.333992,0.491085,0.338333,0.544865,0.3362,0.586749,0.328554,0.517871,0.442362,0.517119,0.282112,0.489928,0.511732,0.547696,0.511507,0.518536,0.512166,0.518592,0.517939,0.55,0,0
12,'2024/11/10 16:14:48:918',1,0.450247,0.333586,0.491017,0.337989,0.544357,0.335628,0.585966,0.327653,0.517899,0.442625,0.516824,0.282373,0.489912,0.511033,0.547749,0.510269,0.518639,0.511415,0.518603,0.517235,0.55,0,0
13,'2024/11/10 16:14:48:951',1,0.45002,0.333762,0.491042,0.338193,0.544767,0.335955,0.586533,0.328111,0.518174,0.44188,0.51718,0.282251,0.48962,0.511105,0.547705,0.510708,0.518559,0.511415,0.518539,0.517194,0.55,0,0
